	C:\Users\BTSUser\Desktop\Cooper Jump\Biomechanics_Spring 2024\Emily_CMJ.c3d	C:\Users\BTSUser\Desktop\Cooper Jump\Biomechanics_Spring 2024\Emily_CMJ.c3d
	TIME	FS1_1
	FRAME_NUMBERS	FORCE
	ORIGINAL	ORIGINAL
ITEM	X	Y
912	1.822000	540.129822
913	1.824000	539.857666
914	1.826000	539.592163
915	1.828000	540.643127
916	1.830000	540.390015
917	1.832000	540.121948
918	1.834000	539.859863
919	1.836000	540.381470
920	1.838000	539.855103
921	1.840000	540.642456
922	1.842000	539.340515
923	1.844000	540.116028
924	1.846000	540.379150
925	1.848000	540.114014
926	1.850000	540.124512
927	1.852000	539.594116
928	1.854000	539.851685
929	1.856000	540.379639
930	1.858000	540.112183
931	1.860000	539.857300
932	1.862000	539.336060
933	1.864000	539.843750
934	1.866000	539.070618
935	1.868000	540.371826
936	1.870000	539.591797
937	1.872000	539.849731
938	1.874000	539.858826
939	1.876000	539.849609
940	1.878000	539.327515
941	1.880000	539.331299
942	1.882000	539.851990
943	1.884000	539.327271
944	1.886000	538.816650
945	1.888000	539.326355
946	1.890000	539.594849
947	1.892000	540.373047
948	1.894000	539.598633
949	1.896000	539.582764
950	1.898000	540.095215
951	1.900000	540.362671
952	1.902000	540.355591
953	1.904000	540.099854
954	1.906000	540.883667
955	1.908000	540.100220
956	1.910000	540.884827
957	1.912000	540.624268
958	1.914000	539.845337
959	1.916000	540.095215
960	1.918000	540.881836
961	1.920000	541.400146
962	1.922000	541.918091
963	1.924000	541.140015
964	1.926000	541.403687
965	1.928000	541.401123
966	1.930000	541.649170
967	1.932000	540.871460
968	1.934000	541.137573
969	1.936000	540.870178
970	1.938000	540.876831
971	1.940000	541.389526
972	1.942000	540.876038
973	1.944000	541.131714
974	1.946000	540.611938
975	1.948000	540.601379
976	1.950000	540.613037
977	1.952000	540.609192
978	1.954000	541.390564
979	1.956000	540.349121
980	1.958000	540.084167
981	1.960000	540.350159
982	1.962000	540.332275
983	1.964000	540.343872
984	1.966000	540.333618
985	1.968000	540.603882
986	1.970000	540.341370
987	1.972000	540.868164
988	1.974000	541.120422
989	1.976000	540.594177
990	1.978000	540.594727
991	1.980000	540.591919
992	1.982000	541.389954
993	1.984000	541.121338
994	1.986000	541.381409
995	1.988000	540.859253
996	1.990000	541.121338
997	1.992000	540.870850
998	1.994000	540.857605
999	1.996000	540.354248
1000	1.998000	540.612305
1001	2.000000	540.341370
1002	2.002000	540.855835
1003	2.004000	540.340454
1004	2.006000	540.614380
1005	2.008000	540.343079
1006	2.010000	540.079590
1007	2.012000	540.332153
1008	2.014000	540.864258
1009	2.016000	540.339722
1010	2.018000	540.866272
1011	2.020000	540.079590
1012	2.022000	539.827026
1013	2.024000	539.555420
1014	2.026000	539.818542
1015	2.028000	539.563110
1016	2.030000	539.565430
1017	2.032000	539.563721
1018	2.034000	539.832947
1019	2.036000	539.818848
1020	2.038000	539.551880
1021	2.040000	539.300232
1022	2.042000	539.296997
1023	2.044000	539.555176
1024	2.046000	539.035400
1025	2.048000	540.067932
1026	2.050000	539.805176
1027	2.052000	539.811401
1028	2.054000	539.809631
1029	2.056000	539.815308
1030	2.058000	539.553711
1031	2.060000	539.547974
1032	2.062000	540.333862
1033	2.064000	540.599304
1034	2.066000	540.597412
1035	2.068000	539.807495
1036	2.070000	539.806641
1037	2.072000	540.325684
1038	2.074000	539.281311
1039	2.076000	540.330627
1040	2.078000	539.283691
1041	2.080000	540.335693
1042	2.082000	539.284973
1043	2.084000	540.052795
1044	2.086000	540.061768
1045	2.088000	540.318970
1046	2.090000	539.014648
1047	2.092000	539.796509
1048	2.094000	539.791382
1049	2.096000	539.277039
1050	2.098000	538.490112
1051	2.100000	539.532593
1052	2.102000	540.054199
1053	2.104000	539.522705
1054	2.106000	539.778503
1055	2.108000	540.040588
1056	2.110000	540.038208
1057	2.112000	540.040283
1058	2.114000	539.783508
1059	2.116000	541.065979
1060	2.118000	540.280151
1061	2.120000	540.021667
1062	2.122000	540.280762
1063	2.124000	539.749146
1064	2.126000	538.976318
1065	2.128000	539.239014
